brand,category,img,name,offer,price,stock,unit1,unit2,unitXBox
BAILETI,LICOR,,VINO BAILETI,TRUE,,45,UNIDAD,CAJA,12
UVAS DE ICA,LICOR,,VINO BLANCO MOSCATO,TRUE,,46,UNIDAD,CAJA,
UVAS DE ICA,LICOR,,VINO BORGOÑA  UVAS DE ICA 1 LT,TRUE,,47,UNIDAD,CAJA,12
UVAS DE ICA,LICOR,,VINO BORGOÑA  UVAS DE ICA 2 LT,TRUE,,48,UNIDAD,CAJA,6
UVAS DE ICA,LICOR,,VINO BORGOÑA CHICO,TRUE,,49,UNIDAD,CAJA,
UVAS DE ICA,LICOR,,VINO DE CEREZA,TRUE,,50,UNIDAD,CAJA,12
MELLISO,LICOR,,VINO MELLIZO,TRUE,,51,UNIDAD,CAJA,12
OPORTO,LICOR,,VINO OPORTO,TRUE,,52,UNIDAD,CAJA,12
QUEIROLO,LICOR,,VINO QUEIROLO,TRUE,,54,UNIDAD,CAJA,12
SUREÑO,LICOR,,VINO SUREÑO BORGOÑA,TRUE,,55,UNIDAD,CAJA,12
UVA DE ICA,LICOR,,VINO UVA DE ICA,TRUE,,56,UNIDAD,CAJA,12
SALVATORE,LICOR,,VINOS SALVATORE,TRUE,,57,UNIDAD,CAJA,12
