quantity,unitMax,sendToAdministrator,price,totalPrice,date,optionUnit,unit,customer,unitIndividual,pricePerUnit,idProductList,productName,dateRegister
6,,True,26,6.5,2024-10-01,"['UNIDAD', 'CAJA']",0,,24,1.0833333333333333,dhd9JHBMgMwValLqmyey,LAVAVAJILLA QMASTER 180 GR,2024-10-01 17:07:04.202000+00:00
1,,True,1,118.0,2024-08-07,"['UNIDAD', 'CAJA']",1,,48,118,NFBKbTODCUZh1VarxViN,FILETE DE CABALLA  DELIMAR EN ACEITE VEGETAL,2024-08-07 17:12:53.065000+00:00
10,200,True,36,18.0,2024-09-01,"['UNIDAD', 'PAQUETE', 'CAJA']",1,,10,1.8,dFBL50O70QLpOza8jCP0,VELA SANTA FE,2024-09-01 15:36:33.453000+00:00
1,,True,39,36.0,2024-09-09,"['UNIDAD', 'SACO', '']",1,,60,36,N5Fp8xnQEvSYhTD1COgv,DETERGENTE TROME,2024-09-09 17:09:56.007000+00:00
6,,True,1,17.0,2024-01-04,"['UNIDAD', 'CAJA']",0,,48,2.8333333333333335,p49nwMCX1BAiyXRWkY8H,FILETE DE CABALLA LYDEMAR EN ACEITE VEGETAL,2024-01-04 17:08:31.440000+00:00
9,,True,1,17.0,2024-02-13,"['UNIDAD', 'CAJA']",0,,24,1.8888888888888888,OMDMhnA2gvcZIfOyzkRx,CONSERVA DE POLLO EN AGUA Y SAL,2024-02-14 19:18:43.152000+00:00
1,200,True,1,57.0,2024-01-03,"['UNIDAD', 'PAQUETE', 'SACO']",1,,20,57,cUu0F99S7bgXUIpvCuGB,GELATINA DON LUCHO,2024-01-03 16:47:36.554000+00:00
3,,True,1,12.0,2024-10-08,"['UNIDAD', 'CAJA']",0,,24,4,fNFRdIVasg5XbORirAGt,OVAL DE JUREL LYDEMAR,2024-10-08 16:24:05.673000+00:00
6,,True,0,30.0,2023-11-02,"['UNIDAD', 'CAJA']",0,,48,5,iUF72hMAXERo8T34yN5o,FILETE DE ATUN PRIMOR EN ACEITE VEGETAL,2023-11-02 17:35:40.996000+00:00
3,,True,112,5.5,2024-09-10,"['CAJITA', 'CAJON ( 60 cajitas)', '']",0,,60,1.8333333333333333,YAyG585nLwF3Kpm6l9Zo,ESPIRAL GALLITO,2024-09-10 16:31:34.552000+00:00
1,,True,3,32.0,2024-03-24,"['UNIDAD', 'PAQUETE']",1,,12,32,jjX0CNHxc5widmUZR59d,ACEITE PURA SELVA 1/2 LITRO,2024-03-24 17:58:28.803000+00:00
6,,True,43,4.5,2024-03-13,"['UNIDAD', 'SACO', '']",0,,60,0.75,8h1DyrHvQUnufArnEtcA,DETERGENTE GO FRESH,2024-03-13 16:50:40.398000+00:00
